Sigla;Designação;"Organismo
Conjunto de Organismos
Tipologia de Organismos";AP;Privados c/ FP;;;;;;;;;;;;;
EGAP;Entidades gestoras de apoios;Tipologia de organismo;AP;;;;;;;;;;;;;;

Emb;Embaixadas;Conjunto de organismos;AP;;;;;;;;;;;;;;

EMGFA;Estado-Maior General das Forças Armadas;Organismo;AP;;;;;;;;;;;;;;

ENMC;Entidade Nacional para o Mercado de Combustíveis, EPE;Organismo;AP;;;;;;;;;;;;;;

EPAE;Escola Portuguesa de Arte Equestre;Organismo;AP;;;;;;;;;;;;;;

ER;Entidades reguladoras;Tipologia de organismo;AP;;;;;;;;;;;;;;

ERC;Entidade Reguladora para a Comunicação Social;Organismo;AP;;;;;;;;;;;;;;

ERS;Entidade Reguladora da Saúde;Organismo;AP;;;;;;;;;;;;;;

ERSAR;Entidade Reguladora dos Serviços de Águas e Resíduos;Organismo;AP;;;;;;;;;;;;;;

ES;Estabelecimentos de ensino (EstE + IES);Conjunto de organismos;S/N;;;;;;;;;;;;;;

ESPAP;Entidade de Serviços Partilhados da Administração Pública;Organismo;AP;;;;;;;;;;;;;;

ESPS;Entidades do sistema de proteção na saúde;Organismo;AP;;;;;;;;;;;;;;

EstE;Estabelecimentos escolares;Conjunto de organismos;AP;;;;;;;;;;;;;;

FA;Forças Armadas;Organismo;AP;;;;;;;;;;;;;;

FAP;Força Aérea Portuguesa;Organismo;AP;;;;;;;;;;;;;;

FPT;Federação Portuguesa de Táxis;Organismo;N;;;;;;;;;;;;;;

PSP;Polícia de Segurança Pública;Organismo;;;;;;;;;;;;;;;

FSS;Forças e serviços de segurança;Conjunto de organismos;AP;;;;;;;;;;;;;;

GAMA;Gabinete  de Investigação de Acidentes Marítimos e da Autoridade para a  Meteorologia Aeronáutica;Organismo;AP;;;;;;;;;;;;;;

GEPAC;Gabinete de Estratégia, Planeamento e Avaliação Culturais;Organismo;AP;;;;;;;;;;;;;;

GMG-MJ;Gabinete de Membro do Governo - Ministro da Justiça;Organismo;AP;;;;;;;;;;;;;;

GNR;Guarda Nacional Repúblicana;Organismo;AP;;;;;;;;;;;;;;

GNS;Gabinete Nacional de Segurança;Organismo;AP;;;;;;;;;;;;;;

Gov;Governo;Conjunto de organismos;AP;;;;;;;;;;;;;;

GovReg-A;Governo Regional dos Açores;Organismo;;;;;;;;;;;;;;;

GovReg-M;Governo Regional da Madeira;Organismo;AP;;;;;;;;;;;;;;

GPIAAF;Gabinete de Prevenção e Investigação de Acidentes com Aeronaves e Acidentes Ferroviários;Organismo;AP;;;;;;;;;;;;;;

HH;Hospitais;Organismo;S/N;;;;;;;;;;;;;;

IAMA;Instituto de Alimentação e Mercados Agrícolas;Organismo;AP;;;;;;;;;;;;;;

IAPMEI;Agência para a Competitividade e Inovação, IP;Organismo;AP;;;;;;;;;;;;;;

IASFA;Instituto de Ação Social das Forças Armadas, IP;Organismo;AP;;;;;;;;;;;;;;

ICA;Instituto do Cinema e do Audiovisual, IP;Organismo;AP;;;;;;;;;;;;;;

ICNF;Instituto da Conservação da Natureza e das Florestas, IP;Organismo;AP;;;;;;;;;;;;;;

IDC;Inspeção Diplomática e Consular;Organismo;AP;;;;;;;;;;;;;;

IEFP;Instituto do Emprego e Formação Profissional, IP;Organismo;AP;;;;;;;;;;;;;;

IES;Instituições do Ensino Superior;Conjunto de organismos;AP;;;;;;;;;;;;;;

IFAP;Instituto de Financiamento da Agricultura e Pescas, IP;Organismo;AP;;;;;;;;;;;;;;

IGAC;Inspeção-Geral das Atividades Culturais;Organismo;AP;;;;;;;;;;;;;;

IGAI;Inspeção-Geral da Administração Interna;Organismo;AP;;;;;;;;;;;;;;

IGAS;Inspeção-Geral das Atividades em Saúde;Organismo;AP;;;;;;;;;;;;;;

IGCP;Agência de Gestão da Tesouraria e da Dívida Pública - IGCP, EPE;Organismo;AP;;;;;;;;;;;;;;

IGFEJ;Instituto de Gestão Financeira e Equipamentos da Justiça, IP;Organismo;AP;;;;;;;;;;;;;;

IGFSS;Instituto de Gestão de Fundos de Capitalização da Segurança Social, IP;Organismo;AP;;;;;;;;;;;;;;

IH;Instituto Hidrográfico, IP;Organismo;AP;;;;;;;;;;;;;;

