Sigla;Designação;"Tipologia";AP;Privados c/ FP;;;;;;;;;;;;;
EstE;Estabelecimentos escolares;Conjunto de Organizações;AP;;;;;;;;;;;;;;

FA;Forças Armadas;Organização;AP;;;;;;;;;;;;;;

FAP;Força Aérea Portuguesa;Organização;AP;;;;;;;;;;;;;;

FPT;Federação Portuguesa de Táxis;Organização;N;;;;;;;;;;;;;;

GAMA;Gabinete  de Investigação de Acidentes Marítimos e da Autoridade para a  Meteorologia Aeronáutica;Organização;AP;;;;;;;;;;;;;;

FSS;Forças e serviços de segurança;Conjunto de Organizações;AP;;;;;;;;;;;;;;

GEPAC;Gabinete de Estratégia, Planeamento e Avaliação Culturais;Organização;AP;;;;;;;;;;;;;;

GMG-MJ;Gabinete de Membro do Governo - Ministro da Justiça;Organização;AP;;;;;;;;;;;;;;

GNR;Guarda Nacional Repúblicana;Organização;AP;;;;;;;;;;;;;;

GNS;Gabinete Nacional de Segurança;Organização;AP;;;;;;;;;;;;;;

GovReg-A;Governo Regional dos Açores;Organização;AP;;;;;;;;;;;;;;

Gov;Governo;Organização;N;;;;;;;;;;;;;;

GovReg-M;Governo Regional da Madeira;Organização;AP;;;;;;;;;;;;;;

GPIAAF;Gabinete de Prevenção e Investigação de Acidentes com Aeronaves e Acidentes Ferroviários;Organização;AP;;;;;;;;;;;;;;

HH;Hospitais;Organização;S/N;;;;;;;;;;;;;;

IAMA;Instituto de Alimentação e Mercados Agrícolas;Organização;AP;;;;;;;;;;;;;;

IAPMEI;Agência para a Competitividade e Inovação, IP;Organização;AP;;;;;;;;;;;;;;

IASFA;Instituto de Ação Social das Forças Armadas, IP;Organização;AP;;;;;;;;;;;;;;

ICA;Instituto do Cinema e do Audiovisual, IP;Organização;AP;;;;;;;;;;;;;;

ICNF;Instituto da Conservação da Natureza e das Florestas, IP;Organização;AP;;;;;;;;;;;;;;

IDC;Inspeção Diplomática e Consular;Organização;AP;;;;;;;;;;;;;;

IEFP;Instituto do Emprego e Formação Profissional, IP;Organização;AP;;;;;;;;;;;;;;

IFAP;Instituto de Financiamento da Agricultura e Pescas, IP;Organização;AP;;;;;;;;;;;;;;

IES;Instituições do Ensino Superior;Conjunto de Organizações;AP;;;;;;;;;;;;;;

IGAC;Inspeção-Geral das Atividades Culturais;Organização;AP;;;;;;;;;;;;;;

IGAI;Inspeção-Geral da Administração Interna;Organização;AP;;;;;;;;;;;;;;

IGAS;Inspeção-Geral das Atividades em Saúde;Organização;AP;;;;;;;;;;;;;;

IGCP;Agência de Gestão da Tesouraria e da Dívida Pública - IGCP, EPE;Organização;AP;;;;;;;;;;;;;;

IGFEJ;Instituto de Gestão Financeira e Equipamentos da Justiça, IP;Organização;AP;;;;;;;;;;;;;;

IGFSS;Instituto de Gestão de Fundos de Capitalização da Segurança Social, IP;Organização;AP;;;;;;;;;;;;;;

IH;Instituto Hidrográfico, IP;Organização;AP;;;;;;;;;;;;;;

IMPIC;Instituto dos Mercados Públicos, do Imobiliário e da Construção, IP;Organização;AP;;;;;;;;;;;;;;

IMT;Instituto de Mobilidade e dos Transportes, IP;Organização;AP;;;;;;;;;;;;;;

INA;Direção-Geral da Qualificação dos Trabalhadores em Funções Públicas;Organização;AP;;;;;;;;;;;;;;

INCM;Imprensa Nacional-Casa da Moeda, SA;Organização;AP;;;;;;;;;;;;;;

INE;Instituto Nacional de Estatística, IP;Organização;AP;;;;;;;;;;;;;;

INEM;Instituto Nacional de Emergência Médica, IP;Organização;AP;;;;;;;;;;;;;;

